count	ckey	example_surface	example_path	top_book
14	السكوني عن ابي عبد الله	السكّوُنيِ ّ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/4/15/1.json	al-istibsar
14	ابان عمن اخبره	أَبَانٍ عَمَّنْ أَخْبَرَهُ	books/al-kafi/6/3/11/5.json	al-kafi
14	ابواحمد محمد بن جعفر البندار	أبوأحمد محمد بن جعفر البندار قال	books/al-khisal/8/1/1.json	al-khisal
14	محمد بن نصير	محمد بن نصير. قال	books/kitab-al-duafa/20/35/1.json	mujam-al-ahadith-al-mutabara
14	عبد الواحد بن عبد الله	وأخبرنا عبد الواحد بن عبد الله قال	books/kitab-al-ghayba-numani/2/1/6.json	kitab-al-ghayba-numani
14	علي بن احمد البندنيجي	علي بن أحمد البندنيجي قال	books/kitab-al-ghayba-numani/2/10/15.json	kitab-al-ghayba-numani
14	ابو الحسن	أبو الحسن، قال	books/maani-al-akhbar/427/100.json	maani-al-akhbar
14	وفي روايه السكوني	وفي رواية السكوني	books/man-la-yahduruhu-al-faqih/4/10/12.json	man-la-yahduruhu-al-faqih
14	اله	آلِهِ أَنَّهُ	books/man-la-yahduruhu-al-faqih/4/174/3.json	man-la-yahduruhu-al-faqih
14	احدهما عليهما السلام : انه سيل	أَحَدِهِمَا عَلَيْهِمَا اَلسَّلاَمُ : أَنَّهُ سُئِلَ	books/man-la-yahduruhu-al-faqih/3/2/38/2.json	tahdhib-al-ahkam
14	ابو القاسم جعفر بن محمد	أبو القاسم جعفر بن محمد	books/tahdhib-al-ahkam/6/10/20.json	tahdhib-al-ahkam
13	علي بن ابي طالب	عَلِيِّ بْنِ أَبِي طَالِبٍ عَلَيْهِ السَّلَامُ	books/al-amali-mufid/38/3/1.json	al-amali-saduq
13	جعفر بن علي بن الحسن بن علي بن عبد الله بن المغيره الكوفي	جعفر بن علي بن الحسن بن علي بن عبد الله بن المغيرة الكوفي، قال	books/al-amali-saduq/10/6.json	al-amali-saduq
13	علي بن عبد الله الوراق	علي بن عبد الله الوراق، قال	books/al-amali-saduq/26/5.json	al-amali-saduq
13	جده احمد بن ابي عبد الله	جَدِّهِ أَحْمَدَ بْنِ أَبِي عَبْدِ اللَّهِ،	books/al-amali-saduq/34/5.json	al-amali-saduq
13	احمد بن علي بن ابراهيم بن هاشم	أحمد بن علي بن إبراهيم بن هاشم (رحمه الله)، قال	books/al-amali-saduq/54/3.json	al-amali-saduq
13	ابن ابي عمير عن حماد بن عثمان	ابنِ أَبِي عُمَيرٍ عَن حَمّادِ بنِ عُثمَانَ	books/al-istibsar/4/20/1.json	al-istibsar
13	عنه عن محمد بن سنان	عَنهُ عَن مُحَمّدِ بنِ سِنَانٍ	books/al-istibsar/4/33/3.json	al-istibsar
13	ابن مسكان عن ابي بصير عن ابي عبد الله	ابنِ مُسكَانَ عَن أَبِي بَصِيرٍ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/4/38/63.json	al-istibsar
13	محمد بن يعقوب عن محمد بن يحيي عن احمد بن محمد عن علي بن الحكم	مُحَمّدُ بنُ يَعقُوبَ عَن مُحَمّدِ بنِ يَحيَي عَن أَحمَدَ بنِ مُحَمّدٍ عَن عَلِيّ بنِ الحَكَمِ	books/al-istibsar/3/112/5.json	al-istibsar
13	علي بن محمد بن قتيبه	علي بن محمد بن قتيبة	books/al-istibsar/2/25/7.json	kitab-al-ghayba-tusi
13	ابي بكر	أبي بكر	books/al-istibsar/1/171/6.json	tahdhib-al-ahkam
13	محمد بن احمد بن علي	محمد بن أحمد بن علي	books/al-istibsar/1/94/7.json	tahdhib-al-ahkam
13	ابيه عمن حدثه	أَبِيهِ عَمَّنْ حَدَّثَهُ	books/al-kafi/6/6/25/2.json	al-kafi
13	حمزه بن محمد بن احمد العلوي	حمزة بن محمد بن أحمد العلوي رضي الله عنه قال	books/al-khisal/8/30/3.json	al-khisal
13	ابي, ومحمد بن الحسن رضي الله عنهما	أبي، ومحمد بن الحسن رضي الله عنهما قال	books/al-khisal/8/51/1.json	al-khisal
13	ابي رضي الله عنه قال: حدثنا سعد بن عبد الله	أبي رضي الله عنه قال: حدثنا سعد بن عبد الله،	books/al-khisal/6/14/2.json	uyun-akhbar-al-rida
13	محمد بن الحسن بن علي بن مهزيار	حَدَّثَنِي مُحَمَّدُ بْنُ الْحَسَنِ بْنِ عَلِيِّ بْنِ مَهْزِيَارَ	books/kamil-al-ziyarat/2/1/5.json	kamil-al-ziyarat
13	الحسن بن علي بن عبد الله بن المغيره	الْحَسَنِ بْنِ عَلِيِّ بْنِ عَبْدِ اللَّهِ بْنِ الْمُغِيرَةِ	books/kamil-al-ziyarat/2/101/7.json	kamil-al-ziyarat
13	الذي رواه - محمد بن يعقوب	اَلَّذِي رَوَاهُ - مُحَمَّدُ بْنُ يَعْقُوبَ	books/tahdhib-al-ahkam/7/24/21.json	tahdhib-al-ahkam
13	احمد بن محمد بن الحسن	أَحْمَدُ بْنُ مُحَمَّدِ بْنِ اَلْحَسَنِ	books/tahdhib-al-ahkam/4/40/28.json	tahdhib-al-ahkam
12	ابي جعفر محمد بن علي الباقر	أَبِي جَعْفَرٍ مُحَمَّدِ بْنِ عَلِيٍّ الْبَاقِرِ عَلَيْهِمَا السَّلَامُ	books/al-amali-mufid/42/4/1.json	al-amali-mufid
12	سعيد بن جبير	سَعِيدِ بْنِ جُبَيْرٍ	books/al-amali-mufid/35/5/1.json	al-amali-saduq
12	محمد بن علي ما جيلويه	محمد بن علي ما جيلويه (رحمه الله) قال	books/al-amali-saduq/1/20.json	al-khisal
12	ابيه ابراهيم بن هاشم	أبيه إبراهيم بن هاشم،	books/al-amali-saduq/15/9.json	al-amali-saduq
12	محمد بن احمد السناني	محمد بن أحمد السناني (رحمه الله)، قال	books/al-amali-saduq/34/15.json	al-amali-saduq
12	عنه عن محمد بن يحيي عن احمد بن محمد	عَنهُ عَن مُحَمّدِ بنِ يَحيَي عَن أَحمَدَ بنِ مُحَمّدٍ	books/al-istibsar/4/29/3.json	al-istibsar
12	ابن ابي عمير عن عمر بن اذينه عن زراره	ابنِ أَبِي عُمَيرٍ عَن عُمَرَ بنِ أُذَينَةَ عَن زُرَارَةَ	books/al-istibsar/4/36/8.json	al-istibsar
12	العلاء بن رزين عن محمد بن مسلم عن احدهما	العَلَاءِ بنِ رَزِينٍ عَن مُحَمّدِ بنِ مُسلِمٍ عَن أَحَدِهِمَا ع	books/al-istibsar/3/1/1.json	al-istibsar
12	سعد بن عبد الله عن ابي جعفر	سَعدُ بنُ عَبدِ اللّهِ عَن أَبِي جَعفَرٍ	books/al-istibsar/2/1/7.json	al-istibsar
12	جده علي بن مهزيار	جَدِّهِ عَلِيِّ بْنِ مَهْزِيَارَ	books/kamil-al-ziyarat/2/13/10.json	kamil-al-ziyarat
12	كان رسول الله صلي الله عليه	كَانَ رَسُولُ اَللَّهِ صَلَّى اَللَّهُ عَلَيْهِ	books/man-la-yahduruhu-al-faqih/3/3/11/2.json	man-la-yahduruhu-al-faqih
12	ما رواه - الحسين بن سعيد	مَا رَوَاهُ - اَلْحُسَيْنُ بْنُ سَعِيدٍ	books/tahdhib-al-ahkam/9/26/14.json	tahdhib-al-ahkam
12	ابيه عليهما السلام ان عليا	أَبِيهِ عَلَيْهِمَا اَلسَّلاَمُ أَنَّ عَلِيّاً عَلَيْهِ اَلسَّلاَمُ	books/tahdhib-al-ahkam/8/11/18.json	tahdhib-al-ahkam
12	الحاكم ابو علي الحسين بن احمدالبيهقي	الحاكم أبو علي الحسين بن أحمدالبيهقي	books/uyun-akhbar-al-rida/2/10/14.json	uyun-akhbar-al-rida
11	الحسن بن عبد الله بن سعيد العسكري	الحسن بن عبد الله بن سعيد العسكري، قال	books/al-amali-saduq/2/4.json	al-khisal
11	ابن ابي عمير عن معاويه بن عمار	ابنِ أَبِي عُمَيرٍ عَن مُعَاوِيَةَ بنِ عَمّارٍ	books/al-istibsar/4/1/15.json	al-istibsar
11	الحسن بن علي بن يقطين عن اخيه الحسين عن علي بن يقطين	الحَسَنِ بنِ عَلِيّ بنِ يَقطِينٍ عَن أَخِيهِ الحُسَينِ عَن عَلِيّ بنِ يَقطِينٍ	books/al-istibsar/4/1/3.json	al-istibsar
11	عنه عن فضاله	عَنهُ عَن فَضَالَةَ	books/al-istibsar/4/20/3.json	al-istibsar
11	عنه عن حميد بن زياد	عَنهُ عَن حُمَيدِ بنِ زِيَادٍ	books/al-istibsar/4/30/3.json	al-istibsar
11	ابن ابي عمير عن حفص بن البختري عن ابي عبد الله	ابنِ أَبِي عُمَيرٍ عَن حَفصِ بنِ البخَترَيِ ّ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/4/30/4.json	al-istibsar
